target,condition,baseline_cosine,null_p99,null_z,boot_lo,boot_hi,boot_mean,boot_clears_null,n_boot,beta_star,kse_star,med_se,seconds
Th1,Stim48hr,0.5328836947832118,0.49773086474165174,2.9082819070589063,0.5414030917337428,0.5470581415414317,0.5444050878128507,True,12,0.087890625,0.03282926677520682,0.11818903684616089,637.9
Th2,Stim48hr,0.5299676411768143,0.49773086474165174,2.859979529895767,0.5370005060923544,0.5436194072323387,0.5402434467258728,True,12,0.080078125,0.02991110972852177,0.11818903684616089,644.5
younger,Stim48hr,0.5970152091936841,0.6159849383706221,1.897013564284362,0.6025533156983369,0.6082383879115273,0.6055243871787478,False,12,0.001953125,0.0011860349538818534,0.1237557902932167,642.7
older,Stim48hr,0.5662342507172752,0.6159849383706221,1.2009248883975732,0.570861677968039,0.5766273840361311,0.5737309973966415,False,12,0.001953125,0.0011860349538818534,0.1237557902932167,577.1
