perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
SMU1,0.5027,0.5433,1.502,0.0000,0.3660,0.2347,0.7323,0.6426,0.9306,0.6810,0.9721,0.7662,1,1,1,1,0.1765,0.1111,0.1111
SNAPC1,0.4758,0.4791,2.477,0.0000,0.4988,0.3643,0.8377,0.6896,0.8667,0.5462,0.9313,0.7242,1,1,1,1,0.1765,0.0526,0.0526
SNAPC2,0.1753,0.1841,1.606,0.0600,0.7855,0.3549,0.9328,0.6623,0.6188,0.3605,0.9349,0.7492,1,1,1,1,0.1765,0.1111,0.0000
SNAPC3,0.3222,0.3407,1.781,0.0100,0.6321,0.2484,0.8564,0.6379,0.7749,0.5164,0.9687,0.7701,1,1,1,1,0.1765,0.1111,0.0000
SNAPC5,0.2808,0.2840,2.358,0.0000,0.8141,0.3717,0.9306,0.6646,0.5807,0.3661,0.9283,0.7472,1,1,1,1,0.1111,0.1111,0.0526
SNIP1,0.3400,0.3502,1.621,0.0000,0.7530,0.3225,0.9022,0.6531,0.6580,0.4313,0.9466,0.7573,1,1,1,1,0.1111,0.0000,0.0526
SNRNP200,0.5205,0.5338,1.152,0.0300,0.3611,0.1911,0.7429,0.6398,0.9325,0.6694,0.9816,0.7686,1,1,1,1,0.1111,0.0000,0.0000
SNRNP25,0.3004,0.3049,1.275,0.0000,0.7296,0.4280,0.9160,0.7137,0.6839,0.4012,0.9038,0.7005,1,1,1,1,0.3333,0.0526,0.1111
SNRNP27,0.1114,0.1506,2.450,0.0200,0.8473,0.4289,0.9572,0.7062,0.5311,0.2895,0.9034,0.7080,1,1,1,1,0.0526,0.0526,0.0526
SNRNP35,0.3974,0.3903,1.502,0.0000,0.5343,0.4419,0.8607,0.7277,0.8453,0.5092,0.8971,0.6858,1,1,1,1,0.4286,0.0526,0.2500
SNRNP48,0.5035,0.4905,1.660,0.0000,0.4762,0.2922,0.8065,0.6623,0.8793,0.5913,0.9564,0.7492,1,1,1,1,0.2500,0.0526,0.0000
SNRNP70,0.5990,0.6112,1.664,0.0000,0.4437,0.3832,0.7431,0.6824,0.8962,0.6692,0.9237,0.7310,1,1,1,1,0.1111,0.1111,0.0526
SNRPA1,0.5828,0.5658,1.792,0.0200,0.3102,0.3817,0.7116,0.6858,0.9507,0.7026,0.9243,0.7278,1,1,1,1,0.1765,0.1111,0.0526
SNRPB,0.6196,0.6066,1.285,0.0000,0.3171,0.2854,0.7077,0.6483,0.9484,0.7065,0.9584,0.7614,1,1,1,1,0.4286,0.0000,0.0526
SNRPC,0.4643,0.4665,1.908,0.0000,0.6174,0.2972,0.8522,0.6308,0.7867,0.5233,0.9548,0.7759,1,1,1,1,0.1111,0.0526,0.0526
SNRPD1,0.6547,0.6490,1.333,0.0000,0.3200,0.2831,0.6876,0.6577,0.9474,0.7261,0.9591,0.7533,1,1,1,1,0.1765,0.0000,0.0000
SNRPD3,0.5982,0.5972,1.141,0.0250,0.2734,0.3165,0.6976,0.6485,0.9619,0.7164,0.9486,0.7612,1,1,1,1,0.1765,0.0526,0.0526
SNRPE,0.6062,0.5953,1.455,0.0150,0.2559,0.2592,0.7150,0.6591,0.9667,0.6991,0.9658,0.7521,1,1,1,1,0.5385,0.0000,0.0000
SNRPF,0.5992,0.5826,1.659,0.0100,0.2532,0.3190,0.7030,0.6698,0.9674,0.7112,0.9478,0.7425,1,1,1,1,0.4286,0.0000,0.0526
SNRPG,0.5754,0.5958,1.201,0.0050,0.3434,0.2531,0.7248,0.6376,0.9392,0.6890,0.9674,0.7704,1,1,1,1,0.1111,0.0000,0.0526
SNW1,0.4377,0.4265,1.811,0.0050,0.6493,0.4886,0.8426,0.7139,0.7605,0.5385,0.8725,0.7003,1,1,1,1,0.0526,0.0000,0.0000
SON,0.3542,0.3582,-0.390,0.7950,0.4305,0.4685,0.6955,0.7191,0.9026,0.7185,0.8835,0.6949,1,1,1,1,0.0526,0.0000,0.0000
SPC24,0.6233,0.6241,1.346,0.0000,0.3898,0.2806,0.7018,0.6032,0.9209,0.7124,0.9598,0.7976,1,1,1,1,0.1765,0.0000,0.0000
SPC25,0.5838,0.5940,1.429,0.0000,0.3295,0.1308,0.7222,0.5816,0.9442,0.6916,0.9914,0.8134,1,1,1,1,0.3333,0.0000,0.0000
SPCS3,0.4419,0.4432,6.932,0.0000,0.7580,0.6600,0.8812,0.8068,0.6523,0.4728,0.7513,0.5908,1,1,1,1,0.2500,0.2500,0.1765
SRBD1,0.5618,0.5652,1.029,0.0000,0.5805,0.2814,0.7322,0.6133,0.8142,0.6810,0.9596,0.7898,1,1,1,1,0.0526,0.0526,0.1111
SRP54,0.4500,0.4442,0.784,0.1050,0.6457,0.4163,0.7959,0.7008,0.7635,0.6054,0.9092,0.7133,1,1,1,1,0.1765,0.0526,0.1111
SRP68,0.5323,0.5187,1.490,0.0050,0.4958,0.2844,0.7652,0.6743,0.8684,0.6438,0.9587,0.7385,1,1,1,1,0.1765,0.1111,0.1765
SRP72,0.3528,0.3198,1.949,0.0000,0.7479,0.2808,0.9034,0.6744,0.6639,0.4287,0.9598,0.7384,1,1,1,1,0.1111,0.1111,0.1765
SRPRB,0.4506,0.4122,1.705,0.0000,0.6942,0.6274,0.8601,0.8159,0.7198,0.5102,0.7787,0.5782,1,1,1,1,0.1765,0.1111,0.1111
SRRM1,0.4003,0.4079,3.883,0.0000,0.8293,0.6076,0.9238,0.7694,0.5588,0.3829,0.7942,0.6387,1,1,1,1,0.0526,0.0526,0.0526
SRRM2,0.1872,0.1990,0.905,0.1150,0.8040,0.5587,0.9345,0.7603,0.5946,0.3560,0.8293,0.6495,1,1,1,1,0.0526,0.0526,0.0000
SRRT,0.4754,0.4780,4.387,0.0050,0.4453,0.4433,0.8478,0.7875,0.8954,0.5302,0.8964,0.6164,1,1,1,1,0.2500,0.1765,0.2500
SRSF1,0.3052,0.3217,2.409,0.0000,0.7339,0.4560,0.8831,0.7024,0.6792,0.4692,0.8900,0.7118,1,1,1,1,0.1111,0.1765,0.1111
SRSF10,0.2175,0.2115,3.575,0.0000,0.8516,0.7584,0.9663,0.8452,0.5242,0.2573,0.6517,0.5345,1,1,1,1,0.1111,0.0526,0.0526
SRSF11,0.1090,0.0978,0.942,0.0950,0.9098,0.8706,0.9654,0.9039,0.4151,0.2606,0.4920,0.4277,1,1,1,1,0.0526,0.0000,0.0526
SRSF2,0.3354,0.3320,2.939,0.0000,0.8424,0.5188,0.9446,0.6846,0.5389,0.3283,0.8549,0.7290,1,1,1,1,0.1111,0.1111,0.0526
SRSF3,0.4806,0.4804,1.890,0.0000,0.6717,0.5935,0.8351,0.7701,0.7409,0.5500,0.8048,0.6379,1,1,1,1,0.0000,0.0000,0.0000
SRSF7,0.4763,0.4684,3.357,0.0000,0.7770,0.3662,0.8912,0.6175,0.6295,0.4537,0.9305,0.7865,1,1,1,1,0.1111,0.0526,0.0526
SSU72,0.3045,0.2943,1.550,0.0000,0.7094,0.4156,0.9137,0.6870,0.7048,0.4063,0.9096,0.7267,1,1,1,1,0.0526,0.0000,0.0526
STRAP,0.3408,0.3670,3.535,0.0000,0.8088,0.5192,0.8967,0.6929,0.5881,0.4427,0.8547,0.7210,1,1,1,1,0.1111,0.3333,0.2500
SUGP1,0.1842,0.1920,2.637,0.0250,0.7656,0.4812,0.9123,0.6935,0.6433,0.4096,0.8766,0.7204,1,1,1,1,0.1111,0.2500,0.0000
SUPT16H,0.4631,0.4467,1.890,0.0000,0.5531,0.5697,0.8306,0.7619,0.8331,0.5568,0.8218,0.6477,1,1,1,1,0.1111,0.0000,0.0526
SURF6,0.3476,0.3407,0.733,0.2000,0.5740,0.2899,0.8373,0.6658,0.8188,0.5467,0.9571,0.7461,1,1,1,1,0.0526,0.0526,0.0000
SYF2,0.3372,0.3381,2.917,0.0000,0.7207,0.5462,0.8768,0.7455,0.6932,0.4808,0.8377,0.6665,1,1,1,1,0.1111,0.1765,0.1765
SYMPK,0.3570,0.3365,1.885,0.0050,0.4697,0.3407,0.8681,0.6922,0.8828,0.4964,0.9402,0.7217,1,1,1,1,0.1111,0.1111,0.1111
TADA3,0.1525,0.1729,3.344,0.0000,0.8430,0.4484,0.9622,0.6772,0.5379,0.2723,0.8938,0.7358,1,1,1,1,0.0526,0.1765,0.0526
TAF10,0.3915,0.3912,2.761,0.0050,0.5540,0.5398,0.8139,0.7502,0.8325,0.5810,0.8418,0.6612,1,1,1,1,0.1765,0.1765,0.1111
TAF1D,0.0801,0.1078,1.033,0.1700,0.6546,0.3599,0.9417,0.6625,0.7560,0.3364,0.9330,0.7491,1,1,1,1,0.0526,0.0526,0.0000
TAF2,0.4411,0.4265,5.171,0.0000,0.4800,0.4073,0.8406,0.7213,0.8773,0.5416,0.9133,0.6926,1,1,1,1,0.3333,0.1765,0.1765
TAF6,0.4581,0.4578,4.170,0.0000,0.5631,0.6796,0.8191,0.7994,0.8264,0.5736,0.7336,0.6008,1,1,1,1,0.4286,0.2500,0.3333
TAF7,0.4390,0.4081,3.277,0.0000,0.5200,0.4976,0.8512,0.7244,0.8541,0.5248,0.8674,0.6894,1,1,1,1,0.2500,0.2500,0.2500
TAF8,0.4015,0.3940,5.934,0.0000,0.5115,0.4060,0.8487,0.7061,0.8593,0.5289,0.9139,0.7081,1,1,1,1,0.1765,0.2500,0.1765
TANGO6,0.4081,0.4037,2.037,0.0100,0.5141,0.3385,0.8326,0.6663,0.8577,0.5539,0.9410,0.7457,1,1,1,1,0.3333,0.1111,0.1111
TARS,0.4587,0.4780,3.103,0.0000,0.5350,0.3989,0.8541,0.6826,0.8448,0.5202,0.9170,0.7308,1,1,1,1,0.0526,0.0000,0.0000
TBCB,0.1453,0.1488,1.072,0.1000,0.7087,0.3473,0.9295,0.6663,0.7056,0.3687,0.9377,0.7457,1,1,1,1,0.0000,0.1111,0.0000
TBP,0.2956,0.2982,3.164,0.0050,0.7200,0.4721,0.8780,0.7742,0.6939,0.4787,0.8815,0.6329,1,1,1,1,0.3333,0.2500,0.1111
TCERG1,0.2991,0.3097,3.709,0.0000,0.8089,0.6567,0.9350,0.7641,0.5879,0.3548,0.7541,0.6451,1,1,1,1,0.1765,0.1111,0.1111
TCOF1,0.1464,0.1512,0.352,0.4000,0.7683,0.4146,0.9327,0.7043,0.6401,0.3606,0.9100,0.7099,1,1,1,1,0.0000,0.0526,0.0526
TEFM,0.5925,0.5788,5.820,0.0100,0.6602,0.7710,0.6898,0.8344,0.7511,0.7240,0.6368,0.5512,1,1,1,1,0.1111,0.1111,0.1111
TELO2,0.4799,0.4853,1.238,0.0300,0.5777,0.5958,0.8089,0.7356,0.8162,0.5879,0.8031,0.6774,1,1,1,1,0.1111,0.0526,0.1765
TERF2,0.3463,0.3418,0.925,0.0750,0.6480,0.2888,0.8733,0.6455,0.7616,0.4872,0.9574,0.7637,1,1,1,1,0.0526,0.1111,0.0000
TEX10,0.2354,0.2415,0.142,0.4250,0.4479,0.2074,0.8325,0.6420,0.8941,0.5540,0.9782,0.7667,1,1,1,1,0.1765,0.0000,0.0526
TFDP1,0.3882,0.3904,1.665,0.0000,0.8336,0.5955,0.9018,0.7805,0.5524,0.4321,0.8034,0.6251,1,1,1,1,0.0000,0.0526,0.1111
THAP1,0.4522,0.4483,2.289,0.0000,0.6393,0.2208,0.8758,0.6227,0.7689,0.4827,0.9753,0.7825,1,1,1,1,0.2500,0.1765,0.1765
THAP11,0.1909,0.1898,4.591,0.0000,0.9417,0.7310,0.9825,0.8279,0.3364,0.1862,0.6823,0.5608,1,0,1,1,0.0000,0.0526,0.0000
THG1L,0.5243,0.5130,2.741,0.0000,0.6249,0.5203,0.8249,0.7246,0.7807,0.5653,0.8540,0.6892,1,1,1,1,0.2500,0.0526,0.1111
THOC1,0.3623,0.3805,3.130,0.0000,0.7531,0.5991,0.9018,0.7624,0.6579,0.4322,0.8007,0.6471,1,1,1,1,0.1765,0.1111,0.1765
THOC3,0.4165,0.4191,4.059,0.0000,0.8065,0.5601,0.9255,0.7352,0.5912,0.3788,0.8285,0.6778,1,1,1,1,0.1111,0.1111,0.0000
THOC5,0.3591,0.3662,1.688,0.0150,0.6740,0.2726,0.8678,0.6410,0.7388,0.4969,0.9621,0.7675,1,1,1,1,0.2500,0.1765,0.0526
THOC7,0.3705,0.3749,2.840,0.0000,0.6319,0.3106,0.8810,0.6437,0.7750,0.4732,0.9506,0.7653,1,1,1,1,0.2500,0.1765,0.1111
TICRR,0.3242,0.3498,1.049,0.1000,0.4217,0.3513,0.8413,0.6417,0.9067,0.5406,0.9362,0.7670,1,1,1,1,0.1111,0.0526,0.0526
TIMM13,0.3635,0.3720,1.728,0.0750,0.5527,0.5464,0.8377,0.7419,0.8334,0.5461,0.8375,0.6705,1,1,1,1,0.1111,0.1765,0.1111
TIMM23B,0.6159,0.6097,1.893,0.0250,0.1685,0.1412,0.6931,0.5401,0.9857,0.7208,0.9900,0.8416,1,1,1,1,0.1111,0.0000,0.1111
TIMM44,0.5325,0.5262,1.716,0.0050,0.5484,0.3088,0.7919,0.6247,0.8362,0.6107,0.9511,0.7809,1,1,1,1,0.0000,0.1111,0.0000
TIMM9,0.2045,0.1945,0.864,0.1350,0.7915,0.3506,0.9179,0.6503,0.6112,0.3968,0.9365,0.7597,1,1,1,1,0.0000,0.1765,0.0526
TMSB10,0.3848,0.3945,5.634,0.0000,0.9323,0.6117,0.9574,0.7532,0.3617,0.2887,0.7911,0.6578,1,1,1,1,0.1111,0.0000,0.1111
TMX2,0.3591,0.3620,2.078,0.0000,0.5558,0.3685,0.8850,0.7163,0.8313,0.4656,0.9296,0.6978,1,1,1,1,0.1765,0.1765,0.0000
TNPO3,0.3747,0.3498,4.511,0.0000,0.8927,0.5174,0.9484,0.7137,0.4507,0.3170,0.8557,0.7004,1,1,1,1,0.1111,0.2500,0.2500
TOMM22,0.5606,0.5689,4.021,0.0000,0.5763,0.3320,0.7889,0.5172,0.8172,0.6145,0.9433,0.8559,1,1,1,1,0.2500,0.1765,0.0526
TOMM40,0.4865,0.4904,4.538,0.0000,0.7591,0.3983,0.8591,0.5617,0.6510,0.5118,0.9173,0.8274,1,1,1,1,0.1111,0.1765,0.1111
TOP1,0.2474,0.2565,1.967,0.0000,0.8210,0.4499,0.9395,0.7124,0.5710,0.3426,0.8931,0.7018,1,1,1,1,0.0000,0.0000,0.0000
TPR,0.4056,0.3950,4.133,0.0000,0.6335,0.6136,0.9126,0.7494,0.7737,0.4089,0.7896,0.6622,1,1,1,1,0.1765,0.0526,0.1111
TPX2,0.5531,0.5494,1.119,0.0350,0.4998,0.4064,0.7445,0.6508,0.8661,0.6676,0.9137,0.7593,1,1,1,1,0.0000,0.0526,0.0526
TRA2B,0.2607,0.2620,1.953,0.0050,0.6831,0.6807,0.8469,0.8164,0.7303,0.5317,0.7326,0.5774,1,1,1,1,0.0526,0.2500,0.1111
TREX2,0.3559,0.3603,0.581,0.2250,0.4895,0.1734,0.8344,0.5899,0.8720,0.5512,0.9849,0.8075,1,1,1,1,0.1765,0.0526,0.0000
TRMT112,0.2519,0.2761,2.699,0.0100,0.5401,0.3243,0.8975,0.6506,0.8416,0.4410,0.9459,0.7594,1,1,1,1,0.1765,0.0526,0.0000
TRMT5,0.4150,0.4316,3.448,0.0000,0.5930,0.3916,0.8604,0.6376,0.8052,0.5096,0.9201,0.7704,1,1,1,1,0.1765,0.1111,0.0526
TSEN2,0.4250,0.4477,6.816,0.0000,0.6134,0.3733,0.8300,0.6393,0.7898,0.5577,0.9277,0.7690,1,1,1,1,0.2500,0.1111,0.1765
TSG101,0.5257,0.5254,1.818,0.0000,0.3696,0.3103,0.7529,0.6998,0.9292,0.6582,0.9506,0.7143,1,1,1,1,0.2500,0.1111,0.0526
TSR1,0.2701,0.2852,1.679,0.0550,0.6159,0.3871,0.8859,0.7021,0.7878,0.4639,0.9220,0.7121,1,1,1,1,0.0000,0.0000,0.0000
TSR2,0.3019,0.3387,2.464,0.0150,0.2070,0.2360,0.8403,0.6442,0.9783,0.5421,0.9718,0.7648,1,1,1,1,0.3333,0.0000,0.0000
TTC27,0.2851,0.2849,4.185,0.0000,0.6944,0.4822,0.9329,0.7492,0.7195,0.3602,0.8760,0.6624,1,1,1,1,0.0526,0.0526,0.0526
TTI1,0.4890,0.4910,1.705,0.0000,0.5882,0.4201,0.8460,0.6548,0.8087,0.5332,0.9075,0.7558,1,1,1,1,0.2500,0.1765,0.1765
TTK,0.6034,0.6114,1.097,0.0100,0.3406,0.2282,0.6672,0.6138,0.9402,0.7449,0.9736,0.7895,1,1,1,1,0.1111,0.0000,0.0000
TUBGCP2,0.2491,0.2342,1.331,0.0400,0.6730,0.2090,0.8980,0.5975,0.7396,0.4401,0.9779,0.8018,1,1,1,1,0.1765,0.0000,0.0000
TUT1,0.1917,0.2066,0.165,0.3700,0.8079,0.5659,0.9208,0.7388,0.5893,0.3899,0.8244,0.6739,1,1,1,1,0.0526,0.0526,0.0526
TXNL4A,0.2117,0.2207,2.694,0.0100,0.7934,0.4942,0.9484,0.7227,0.6087,0.3171,0.8693,0.6912,1,1,1,1,0.1111,0.1111,0.0526
U2AF1,0.5425,0.5450,3.212,0.0000,0.5076,0.3608,0.8168,0.6527,0.8616,0.5769,0.9326,0.7576,1,1,1,1,0.1765,0.1111,0.1765
U2AF2,0.4122,0.4057,1.990,0.0000,0.7732,0.4463,0.8915,0.6840,0.6342,0.4530,0.8949,0.7295,1,1,1,1,0.1111,0.1111,0.0526
U2SURP,0.5174,0.5103,2.137,0.0000,0.5424,0.3762,0.8004,0.6848,0.8401,0.5994,0.9265,0.7288,1,1,1,1,0.2500,0.1765,0.1111
UBA1,0.1939,0.1778,1.741,0.0500,0.6487,0.7195,0.8918,0.8548,0.7611,0.4525,0.6945,0.5189,1,1,1,1,0.0000,0.0000,0.0000
UBA2,0.1759,0.1647,2.566,0.0050,0.6867,0.4665,0.9535,0.7729,0.7270,0.3013,0.8845,0.6345,1,1,1,1,0.3333,0.0526,0.1111
UBA3,0.0763,0.0870,3.546,0.0000,0.7188,0.4878,0.9521,0.9217,0.6952,0.3058,0.8730,0.3879,1,1,1,1,0.1111,0.1111,0.1111
UBA52,0.3028,0.3117,1.983,0.0050,0.6860,0.2911,0.9080,0.6735,0.7276,0.4190,0.9567,0.7392,1,1,1,1,0.0526,0.0000,0.0526
UBAP1,0.4154,0.4152,1.115,0.0300,0.5626,0.4250,0.8199,0.7223,0.8268,0.5726,0.9052,0.6916,1,1,1,1,0.1111,0.0526,0.0526
UBE2I,0.2859,0.3043,1.358,0.0000,0.7453,0.3500,0.9250,0.6582,0.6667,0.3800,0.9368,0.7528,1,1,1,1,0.1111,0.1765,0.0000
UBL5,0.6703,0.6636,2.225,0.0000,0.4243,0.3168,0.7333,0.6346,0.9055,0.6800,0.9485,0.7728,1,1,1,1,0.1111,0.0000,0.0526
UBQLN4,0.2205,0.2217,0.152,0.5500,0.7465,0.7229,0.8798,0.8929,0.6654,0.4754,0.6910,0.4503,1,1,1,1,0.0000,0.0526,0.0000
UFL1,0.2081,0.2146,0.698,0.1600,0.8219,0.8443,0.8913,0.9516,0.5697,0.4535,0.5359,0.3073,1,1,1,1,0.1111,0.3333,0.1765
UFM1,0.3007,0.2942,2.215,0.0100,0.8228,0.6828,0.8945,0.8221,0.5684,0.4471,0.7306,0.5693,1,1,1,1,0.1765,0.2500,0.1111
UPF1,0.5752,0.5681,5.440,0.0000,0.5063,0.3234,0.6910,0.5744,0.8624,0.7228,0.9463,0.8186,1,1,1,1,0.1765,0.0526,0.1111
UPF2,0.7153,0.7135,8.161,0.0000,0.5521,0.5002,0.7948,0.5571,0.8338,0.6069,0.8659,0.8305,1,1,1,1,0.1765,0.1765,0.1111
UQCRB,0.2485,0.2250,0.671,0.2600,0.7811,0.7738,0.9098,0.8582,0.6245,0.4150,0.6334,0.5133,1,1,1,1,0.0526,0.0526,0.0526
UQCRFS1,0.3435,0.3295,2.679,0.0000,0.7195,0.6157,0.9176,0.7540,0.6944,0.3974,0.7880,0.6569,1,1,1,1,0.1111,0.0526,0.0526
UQCRQ,0.1644,0.1374,-0.538,0.7350,0.7164,0.6934,0.8870,0.8020,0.6977,0.4618,0.7205,0.5973,1,1,1,1,0.0000,0.1111,0.0526
URB2,0.2465,0.2285,0.226,0.5300,0.5880,0.3148,0.8675,0.6511,0.8088,0.4974,0.9491,0.7590,1,1,1,1,0.0526,0.0000,0.0000
URI1,0.2776,0.2758,3.070,0.0000,0.7892,0.3912,0.9404,0.6962,0.6141,0.3400,0.9203,0.7178,1,1,1,1,0.1765,0.1765,0.1765
USP39,0.4279,0.4279,2.257,0.0050,0.6081,0.5431,0.8298,0.7449,0.7939,0.5581,0.8397,0.6672,1,1,1,1,0.1111,0.1111,0.0526
USP5,0.1265,0.1344,2.695,0.0300,0.8451,0.4340,0.9621,0.6646,0.5346,0.2726,0.9009,0.7472,1,1,1,1,0.2500,0.0000,0.0526
USPL1,0.1165,0.1409,0.678,0.2050,0.7616,0.5339,0.9185,0.7352,0.6480,0.3955,0.8455,0.6778,1,1,1,1,0.0526,0.0526,0.0526
UTP15,0.2197,0.2568,1.469,0.0900,0.3627,0.2907,0.8792,0.6728,0.9319,0.4764,0.9568,0.7398,1,1,1,1,0.1765,0.0000,0.0000
UTP18,0.1419,0.1744,1.424,0.1050,0.6929,0.3460,0.9189,0.6728,0.7211,0.3945,0.9382,0.7398,1,1,1,1,0.1765,0.0526,0.0526
UTP20,0.1399,0.1776,1.091,0.1500,0.4775,0.3127,0.8986,0.6607,0.8786,0.4389,0.9499,0.7506,1,1,1,1,0.0526,0.0000,0.0526
UTP23,0.1442,0.1719,1.265,0.1100,0.4973,0.3885,0.8588,0.6809,0.8676,0.5124,0.9215,0.7323,1,1,1,1,0.0526,0.1111,0.0000
UTP3,0.1318,0.1613,0.272,0.3650,0.6634,0.5470,0.9078,0.7196,0.7483,0.4194,0.8372,0.6944,1,1,1,1,0.0000,0.0526,0.0526
UXT,0.3765,0.4013,2.868,0.0050,0.5122,0.4846,0.8537,0.7501,0.8589,0.5208,0.8747,0.6613,1,1,1,1,0.1111,0.0526,0.0526
VARS,0.6472,0.6382,2.187,0.0000,0.3137,0.2432,0.7198,0.6178,0.9495,0.6942,0.9700,0.7863,1,1,1,1,0.1765,0.0526,0.0526
VPS28,0.5383,0.5391,2.133,0.0000,0.4020,0.3234,0.7770,0.7074,0.9156,0.6294,0.9463,0.7068,1,1,1,1,0.1111,0.0526,0.0526
VPS29,0.1693,0.1699,0.368,0.4500,0.6951,0.7708,0.9321,0.8481,0.7189,0.3622,0.6371,0.5299,1,1,1,1,0.1111,0.0000,0.0000
VPS35,0.3329,0.3102,1.095,0.0300,0.7121,0.3126,0.8938,0.6310,0.7021,0.4485,0.9499,0.7758,1,1,1,1,0.1111,0.0526,0.1111
VPS54,0.4061,0.4116,0.890,0.0950,0.6342,0.5663,0.8346,0.7406,0.7732,0.5509,0.8242,0.6720,1,1,1,1,0.1111,0.0526,0.0000
VPS72,0.3251,0.2792,3.966,0.0000,0.6796,0.5792,0.9101,0.8561,0.7336,0.4144,0.8152,0.5169,1,1,1,1,0.1765,0.1765,0.1765
WAC,0.2552,0.2497,3.314,0.0000,0.8191,0.5186,0.9473,0.8205,0.5736,0.3204,0.8550,0.5717,1,1,1,1,0.1765,0.1111,0.1111
WBP11,0.4962,0.5336,1.719,0.0150,0.4724,0.4317,0.7738,0.6669,0.8814,0.6334,0.9020,0.7451,1,1,1,1,0.0526,0.0000,0.0526
WDHD1,0.2066,0.1800,3.076,0.0000,0.8425,0.4556,0.9714,0.6727,0.5388,0.2376,0.8902,0.7400,1,1,1,1,0.0000,0.0526,0.1765
WDR12,0.1778,0.2029,0.167,0.4900,0.3669,0.2648,0.8575,0.6310,0.9303,0.5144,0.9643,0.7758,1,1,1,1,0.0000,0.0000,0.0526
WDR24,0.2743,0.2754,1.207,0.0550,0.6568,0.3590,0.8958,0.6536,0.7541,0.4444,0.9333,0.7569,1,1,1,1,0.1111,0.0000,0.0526
WDR33,0.4056,0.4168,1.240,0.0000,0.6099,0.4587,0.8522,0.6991,0.7924,0.5232,0.8886,0.7150,1,1,1,1,0.1765,0.0000,0.0526
WDR43,0.1989,0.2448,1.737,0.0700,0.5381,0.3660,0.8935,0.7018,0.8429,0.4492,0.9306,0.7124,1,1,1,1,0.0000,0.1111,0.0000
WDR5,0.2023,0.2249,3.812,0.0050,0.7390,0.5732,0.9440,0.7695,0.6737,0.3300,0.8194,0.6387,1,1,1,1,0.2500,0.0526,0.1111
WDR61,0.3349,0.3047,4.309,0.0000,0.6847,0.6472,0.8960,0.8156,0.7289,0.4441,0.7623,0.5786,1,1,1,1,0.1111,0.1765,0.1765
WDR70,0.4672,0.4605,2.827,0.0000,0.7212,0.3680,0.8662,0.6917,0.6928,0.4997,0.9298,0.7222,1,1,1,1,0.0526,0.0526,0.1111
WDTC1,0.2456,0.2472,3.272,0.0000,0.7193,0.7298,0.9356,0.8254,0.6947,0.3531,0.6837,0.5646,1,1,1,1,0.1111,0.1111,0.1111
XPO1,0.5696,0.5603,0.816,0.1100,0.4627,0.3595,0.7053,0.6757,0.8865,0.7089,0.9332,0.7371,1,1,1,1,0.0000,0.0526,0.0526
XRCC5,0.5706,0.5812,2.750,0.0000,0.6293,0.4347,0.8007,0.6670,0.7772,0.5991,0.9006,0.7450,1,1,1,1,0.1765,0.0526,0.1111
XRCC6,0.4187,0.4266,3.185,0.0050,0.7145,0.3250,0.8634,0.6137,0.6997,0.5044,0.9457,0.7895,1,1,1,1,0.0526,0.0526,0.1765
YEATS2,0.3891,0.3949,4.197,0.0000,0.7403,0.4447,0.8547,0.7445,0.6723,0.5191,0.8957,0.6676,1,1,1,1,0.1765,0.1111,0.1111
YEATS4,0.2869,0.2865,6.322,0.0000,0.7025,0.7161,0.9303,0.9117,0.7117,0.3669,0.6980,0.4110,1,1,1,1,0.1111,0.1111,0.0526
YTHDC1,0.3591,0.3782,2.307,0.0000,0.6943,0.4544,0.8922,0.7309,0.7197,0.4517,0.8908,0.6825,1,1,1,1,0.1765,0.1111,0.1111
ZBTB17,0.2044,0.2059,6.190,0.0000,0.7974,0.7598,0.9523,0.8677,0.6034,0.3051,0.6501,0.4972,1,1,1,1,0.1765,0.1111,0.1765
ZC3H18,0.2800,0.3003,8.550,0.0000,0.8530,0.7653,0.9603,0.8918,0.5219,0.2788,0.6437,0.4524,1,1,1,1,0.0526,0.0526,0.1111
ZCRB1,0.3115,0.2681,0.824,0.1400,0.7289,0.5481,0.8864,0.7552,0.6846,0.4629,0.8364,0.6555,1,1,1,1,0.0000,0.0000,0.1111
ZFC3H1,0.7224,0.7377,11.629,0.0000,0.6439,0.7658,0.9027,0.6746,0.7651,0.4303,0.6430,0.7382,1,1,1,1,0.1765,0.1111,0.2500
ZMAT2,0.5041,0.4897,2.649,0.0000,0.5147,0.2897,0.8189,0.6429,0.8573,0.5740,0.9571,0.7660,1,1,1,1,0.1111,0.1111,0.0526
ZMAT5,0.2466,0.2398,1.157,0.0150,0.7055,0.4398,0.9252,0.7139,0.7087,0.3795,0.8981,0.7002,1,1,1,1,0.1765,0.0526,0.1111
ZNF207,0.4101,0.4235,2.723,0.0000,0.7061,0.4155,0.8853,0.6382,0.7081,0.4651,0.9096,0.7699,1,1,1,1,0.1111,0.1111,0.1765
