perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
RPL10A,0.4408,0.4679,1.706,0.0250,0.3274,0.2512,0.7836,0.6952,0.9449,0.6212,0.9679,0.7189,1,1,1,1,0.0526,0.0526,0.0000
RPL11,0.5183,0.5376,2.992,0.0000,0.2168,0.2908,0.7992,0.7015,0.9762,0.6010,0.9568,0.7127,1,1,1,1,0.1111,0.0526,0.0000
RPL12,0.5615,0.5731,1.902,0.0000,0.4053,0.2942,0.7685,0.6518,0.9142,0.6398,0.9558,0.7584,1,1,1,1,0.1111,0.0526,0.0526
RPL13,0.3491,0.3832,1.509,0.0300,0.2189,0.2731,0.7978,0.7011,0.9757,0.6030,0.9620,0.7131,1,1,1,1,0.2500,0.0000,0.0000
RPL13A,0.1964,0.2073,0.774,0.1700,0.7309,0.3890,0.9290,0.6836,0.6825,0.3700,0.9212,0.7299,1,1,1,1,0.0000,0.0000,0.0000
RPL14,0.3842,0.4324,1.412,0.0500,0.2188,0.2893,0.7833,0.6941,0.9758,0.6217,0.9572,0.7199,1,1,1,1,0.3333,0.0526,0.0000
RPL15,0.4258,0.4647,1.030,0.0700,0.4230,0.2941,0.7934,0.6903,0.9061,0.6087,0.9558,0.7235,1,1,1,1,0.0000,0.0000,0.0000
RPL17,0.3837,0.4403,1.626,0.0300,0.2309,0.2254,0.7901,0.6830,0.9730,0.6129,0.9743,0.7304,1,1,1,1,0.4286,0.0000,0.0000
RPL18,0.3801,0.4321,1.271,0.0600,0.2065,0.2350,0.7845,0.6845,0.9785,0.6201,0.9720,0.7290,1,1,1,1,0.1765,0.0000,0.0000
RPL18A,0.3329,0.3636,1.308,0.0600,0.5711,0.2958,0.8512,0.6828,0.8209,0.5248,0.9552,0.7306,1,1,1,1,0.0000,0.1111,0.0526
RPL21,0.3874,0.4089,1.595,0.0300,0.2535,0.3242,0.8029,0.6942,0.9673,0.5962,0.9460,0.7198,1,1,1,1,0.0526,0.0526,0.0000
RPL23,0.4400,0.4825,1.904,0.0200,0.2946,0.2306,0.7939,0.6782,0.9556,0.6080,0.9731,0.7349,1,1,1,1,0.3333,0.0000,0.0000
RPL23A,0.2950,0.3483,1.109,0.1200,0.2906,0.2777,0.8164,0.6943,0.9568,0.5775,0.9607,0.7196,1,1,1,1,0.1765,0.0000,0.0526
RPL24,0.4452,0.4892,1.735,0.0150,0.1882,0.2813,0.7873,0.6789,0.9821,0.6166,0.9596,0.7342,1,1,1,1,0.1765,0.0526,0.1111
RPL26,0.4144,0.4450,1.705,0.0050,0.3319,0.3041,0.8163,0.6794,0.9433,0.5776,0.9526,0.7337,1,1,1,1,0.1111,0.0526,0.1765
RPL27A,0.3946,0.4310,0.896,0.1300,0.2181,0.2946,0.7713,0.6955,0.9759,0.6364,0.9556,0.7185,1,1,1,1,0.1111,0.0526,0.0000
RPL30,0.3637,0.4086,1.307,0.0550,0.2126,0.2846,0.8098,0.6899,0.9771,0.5867,0.9587,0.7239,1,1,1,1,0.1765,0.0526,0.0000
RPL31,0.3750,0.4149,1.314,0.0250,0.1823,0.2865,0.7854,0.6966,0.9832,0.6190,0.9581,0.7175,1,1,1,1,0.2500,0.0526,0.0000
RPL32,0.3982,0.4327,1.281,0.0600,0.2987,0.2241,0.7946,0.6765,0.9544,0.6072,0.9746,0.7364,1,1,1,1,0.0526,0.0000,0.0000
RPL34,0.4554,0.4687,2.087,0.0000,0.3435,0.3767,0.7992,0.7189,0.9392,0.6010,0.9263,0.6951,1,1,1,1,0.0000,0.0526,0.0000
RPL35,0.2842,0.3209,1.581,0.0600,0.4861,0.2101,0.8587,0.6740,0.8739,0.5125,0.9777,0.7387,1,1,1,1,0.1111,0.0000,0.0000
RPL35A,0.3948,0.4333,1.281,0.0500,0.3360,0.1906,0.7982,0.6782,0.9419,0.6024,0.9817,0.7348,1,1,1,1,0.2500,0.1111,0.0000
RPL36,0.3646,0.4225,1.371,0.0550,0.2144,0.2059,0.7892,0.6728,0.9767,0.6141,0.9786,0.7398,1,1,1,1,0.1765,0.0000,0.0000
RPL36A,0.1766,0.1759,0.505,0.2900,0.7038,0.3700,0.9315,0.6819,0.7104,0.3638,0.9290,0.7314,1,1,1,1,0.0526,0.0526,0.1111
RPL37,0.3654,0.3809,1.993,0.0150,0.5218,0.3519,0.8563,0.6947,0.8531,0.5165,0.9360,0.7193,1,1,1,1,0.1111,0.0526,0.0000
RPL37A,0.3696,0.4032,1.370,0.0550,0.1952,0.2338,0.7887,0.6799,0.9808,0.6148,0.9723,0.7333,1,1,1,1,0.1765,0.0526,0.0000
RPL38,0.3205,0.3696,1.108,0.1200,0.2705,0.3101,0.8095,0.7050,0.9627,0.5871,0.9507,0.7092,1,1,1,1,0.1765,0.0526,0.0000
RPL39,0.2904,0.3241,1.525,0.0400,0.6989,0.3474,0.9002,0.6730,0.7152,0.4355,0.9377,0.7396,1,1,1,1,0.1111,0.0000,0.0526
RPL4,0.3944,0.4212,1.634,0.0350,0.1965,0.2899,0.7877,0.6979,0.9805,0.6160,0.9570,0.7162,1,1,1,1,0.0000,0.0000,0.0000
RPL5,0.5512,0.5617,2.623,0.0000,0.2531,0.2820,0.7672,0.6918,0.9674,0.6414,0.9594,0.7221,1,1,1,1,0.0526,0.0526,0.0000
RPL6,0.3463,0.4035,1.472,0.0550,0.1878,0.2101,0.7983,0.6871,0.9822,0.6023,0.9777,0.7266,1,1,1,1,0.1111,0.0000,0.0000
RPL7,0.3685,0.4305,1.631,0.0350,0.2182,0.2135,0.7902,0.6822,0.9759,0.6129,0.9769,0.7312,1,1,1,1,0.1765,0.0000,0.0000
RPL7L1,0.1541,0.1753,0.610,0.2350,0.6930,0.3820,0.9070,0.6967,0.7210,0.4210,0.9242,0.7173,1,1,1,1,0.0000,0.1111,0.0000
RPL8,0.4270,0.4601,1.418,0.0450,0.1890,0.2175,0.7742,0.6861,0.9820,0.6330,0.9761,0.7275,1,1,1,1,0.1111,0.0526,0.0000
RPL9,0.3559,0.3926,1.623,0.0300,0.2458,0.2874,0.8080,0.7022,0.9693,0.5891,0.9578,0.7120,1,1,1,1,0.1111,0.0000,0.0000
RPLP0,0.3748,0.4135,2.136,0.0200,0.3691,0.1909,0.8132,0.6600,0.9294,0.5820,0.9816,0.7512,1,1,1,1,0.0526,0.0000,0.0526
RPLP2,0.2232,0.2434,2.856,0.0000,0.6153,0.4982,0.9013,0.7363,0.7883,0.4331,0.8671,0.6766,1,1,1,1,0.0526,0.0526,0.1111
RPP14,0.2215,0.2334,0.909,0.1700,0.6554,0.3295,0.8989,0.6569,0.7553,0.4382,0.9441,0.7540,1,1,1,1,0.1111,0.0000,0.0000
RPP30,0.2033,0.2346,0.454,0.2850,0.5074,0.2922,0.8609,0.6556,0.8617,0.5088,0.9564,0.7551,1,1,1,1,0.2500,0.0000,0.0000
RPS10,0.2786,0.2841,1.519,0.0650,0.4604,0.5514,0.8494,0.7544,0.8877,0.5278,0.8342,0.6565,1,1,1,1,0.0000,0.0000,0.0526
RPS12,0.3291,0.3628,2.205,0.0250,0.2148,0.3651,0.8356,0.6935,0.9767,0.5494,0.9310,0.7204,1,1,1,1,0.1765,0.0000,0.0000
RPS13,0.3320,0.3515,2.566,0.0050,0.3072,0.2014,0.8385,0.6488,0.9516,0.5449,0.9795,0.7609,1,1,1,1,0.2500,0.0000,0.0000
RPS14,0.3419,0.4020,2.907,0.0050,0.4714,0.4305,0.8537,0.7023,0.8819,0.5208,0.9026,0.7119,1,1,1,1,0.1765,0.0000,0.0000
RPS15,0.2444,0.2798,2.574,0.0100,0.6681,0.3500,0.9032,0.6677,0.7440,0.4292,0.9367,0.7444,1,1,1,1,0.0526,0.1111,0.0000
RPS15A,0.3364,0.3449,2.211,0.0250,0.2424,0.3566,0.8248,0.6838,0.9702,0.5654,0.9342,0.7297,1,1,1,1,0.0000,0.0000,0.0000
RPS17,0.2594,0.3088,0.982,0.1250,0.3343,0.4426,0.8323,0.7045,0.9425,0.5544,0.8967,0.7097,1,1,1,1,0.1111,0.0000,0.0526
RPS18,0.3997,0.4079,3.718,0.0000,0.4698,0.3901,0.8463,0.7113,0.8827,0.5327,0.9208,0.7029,1,1,1,1,0.1111,0.0000,0.0000
RPS19,0.3428,0.3796,1.903,0.0300,0.2046,0.2546,0.8210,0.6665,0.9788,0.5709,0.9670,0.7455,1,1,1,1,0.3333,0.0000,0.0000
RPS19BP1,0.0672,0.0964,0.383,0.3050,0.5973,0.3207,0.9177,0.6560,0.8020,0.3972,0.9472,0.7548,1,1,1,1,0.0526,0.1111,0.0000
RPS2,0.2282,0.2592,2.781,0.0050,0.6003,0.3119,0.9079,0.6668,0.7998,0.4192,0.9501,0.7452,1,1,1,1,0.0000,0.0000,0.0000
RPS20,0.3306,0.3621,2.272,0.0150,0.2938,0.3209,0.8330,0.6778,0.9559,0.5533,0.9471,0.7353,1,1,1,1,0.1765,0.0000,0.0000
RPS23,0.2590,0.2766,1.918,0.0350,0.3511,0.3448,0.8685,0.6959,0.9363,0.4958,0.9387,0.7181,1,1,1,1,0.1765,0.0000,0.0000
RPS24,0.2822,0.3376,1.239,0.1000,0.2313,0.3266,0.8215,0.6628,0.9729,0.5702,0.9452,0.7488,1,1,1,1,0.1111,0.0000,0.0000
RPS26,0.3357,0.3670,2.765,0.0050,0.3836,0.3443,0.8582,0.6712,0.9235,0.5134,0.9389,0.7413,1,1,1,1,0.0526,0.0000,0.0000
RPS27,0.3739,0.4066,2.383,0.0000,0.4807,0.6597,0.8418,0.8135,0.8769,0.5398,0.7516,0.5815,1,1,1,1,0.1111,0.1111,0.0526
RPS27A,0.3289,0.3579,2.434,0.0150,0.3383,0.2447,0.8477,0.6613,0.9410,0.5305,0.9696,0.7501,1,1,1,1,0.3333,0.0000,0.0000
RPS29,0.3433,0.3855,1.826,0.0500,0.2615,0.3518,0.8261,0.6884,0.9652,0.5635,0.9361,0.7253,1,1,1,1,0.2500,0.0000,0.0526
RPS3,0.4037,0.4341,3.542,0.0000,0.3820,0.3641,0.8417,0.6933,0.9242,0.5400,0.9314,0.7206,1,1,1,1,0.2500,0.0526,0.0000
RPS3A,0.2883,0.3124,2.089,0.0200,0.3465,0.3264,0.8415,0.6865,0.9381,0.5402,0.9452,0.7271,1,1,1,1,0.1765,0.0000,0.0526
RPS6,0.4108,0.4445,3.028,0.0000,0.3960,0.3393,0.8277,0.6830,0.9182,0.5612,0.9407,0.7304,1,1,1,1,0.3333,0.0000,0.0000
RPS7,0.3670,0.4104,2.184,0.0300,0.2318,0.3004,0.8138,0.6785,0.9728,0.5811,0.9538,0.7346,1,1,1,1,0.1765,0.0000,0.0000
RPS9,0.2858,0.3269,1.791,0.0400,0.2472,0.3271,0.8292,0.6799,0.9690,0.5589,0.9450,0.7333,1,1,1,1,0.1765,0.0000,0.0000
RPTOR,0.4220,0.3761,1.815,0.0000,0.6630,0.5379,0.8651,0.7134,0.7486,0.5016,0.8430,0.7007,1,1,1,1,0.1765,0.0526,0.1765
RPUSD4,0.2258,0.2267,1.414,0.0650,0.7966,0.5467,0.8989,0.7493,0.6045,0.4382,0.8373,0.6623,1,1,1,1,0.2500,0.1111,0.1111
RRM1,0.3482,0.3769,1.602,0.0000,0.4254,0.4384,0.8392,0.7013,0.9050,0.5439,0.8988,0.7129,1,1,1,1,0.0000,0.0000,0.0526
RRN3,0.1337,0.1785,0.960,0.1650,0.6211,0.3669,0.9105,0.6677,0.7837,0.4135,0.9303,0.7444,1,1,1,1,0.0526,0.0526,0.0526
RRP12,0.1339,0.1655,0.628,0.2400,0.3461,0.3598,0.8641,0.6611,0.9382,0.5033,0.9330,0.7503,1,1,1,1,0.0000,0.0526,0.0526
RRP9,0.0573,0.0972,0.627,0.2800,0.7162,0.3673,0.9126,0.6684,0.6979,0.4088,0.9301,0.7438,1,1,1,1,0.0526,0.1111,0.0526
RRS1,0.3741,0.3813,0.972,0.1100,0.5002,0.2201,0.8293,0.6481,0.8659,0.5587,0.9755,0.7615,1,1,1,1,0.1765,0.0000,0.0526
RSL1D1,0.2574,0.2552,0.936,0.1400,0.6556,0.3369,0.8862,0.6429,0.7551,0.4633,0.9415,0.7659,1,1,1,1,0.0526,0.0000,0.0526
RTCB,0.3712,0.3489,3.537,0.0000,0.8156,0.5029,0.9182,0.6815,0.5786,0.3961,0.8643,0.7318,1,1,1,1,0.1765,0.1765,0.2500
RTF1,0.4777,0.4557,1.650,0.0000,0.4906,0.4080,0.8130,0.6775,0.8714,0.5822,0.9130,0.7355,1,1,1,1,0.1111,0.1111,0.0526
RUVBL1,0.5208,0.5250,1.516,0.0000,0.3969,0.2931,0.7751,0.6279,0.9178,0.6318,0.9561,0.7783,1,1,1,1,0.1111,0.0526,0.0526
SAE1,0.2617,0.2341,2.071,0.0000,0.6612,0.4289,0.9356,0.7394,0.7502,0.3530,0.9034,0.6732,1,1,1,1,0.1765,0.0526,0.1111
SAMM50,0.5206,0.5169,2.009,0.0150,0.4446,0.3658,0.7737,0.6248,0.8957,0.6336,0.9307,0.7808,1,1,1,1,0.0526,0.0526,0.0526
SARS2,-0.1136,-0.0879,-3.997,0.9900,0.8456,0.8125,0.9371,0.9523,0.5338,0.3492,0.5830,0.3052,1,1,1,1,0.0526,0.1111,0.0000
