target,pos_massfrac,pos_n,pos_in_readout,pos_per_gene,neg_massfrac,neg_n,neg_in_readout,neg_per_gene,enrich_pos_over_neg
Th1,0.004103127012136628,12,10,0.0003419272510113857,0.002209324971442748,32,15,6.904140535758588e-05,4.952495524105328
Th2,0.004062061199326737,12,10,0.00033850509994389475,0.0019530230946073444,32,15,6.1031971706479514e-05,5.546356941765934
younger,0.002955802991408541,12,10,0.00024631691595071177,0.0016782303923085298,32,11,5.2444699759641556e-05,4.69669799006578
older,0.0020595749668116357,12,10,0.000171631247234303,0.0013395444791949038,32,11,4.1860764974840745e-05,4.100050425200237
