rank,gene_knockdown,cumulative_cosine,residual
1,LAT2,0.2255,0.9742
2,APPBP2,0.2892,0.9573
3,RARA,0.3245,0.9459
4,ICOS,0.3556,0.9346
5,SNAP23,0.3791,0.9254
6,SNX4,0.392,0.92
7,VTI1A,0.4022,0.9156
8,HEXIM1,0.4119,0.9112
9,MUTYH,0.4208,0.9072
10,HPS1,0.4298,0.9029
11,MTFR1L,0.4358,0.9
12,MBD2,0.4416,0.8972
13,PIGS,0.4472,0.8944
14,SLC39A1,0.4525,0.8918
15,AKIRIN2,0.4574,0.8893
