double,component_A,component_B,cos_measured_vs_additive,rel_residual,norm_measured
RHOXF2+ZBTB25,RHOXF2,ZBTB25,0.7221,0.7633,25.5542
PTPN12+SAMD1,PTPN12,SAMD1,0.7223,0.7822,22.5307
FOXA1+KLF1,FOXA1,KLF1,0.7261,0.7194,20.2344
IGDCC3+PRTG,IGDCC3,PRTG,0.7265,0.8443,26.888
DUSP9+SNAI1,DUSP9,SNAI1,0.7277,0.6955,34.0556
BPGM+SAMD1,BPGM,SAMD1,0.728,0.8262,21.9257
KLF1+TGFBR2,KLF1,TGFBR2,0.731,0.7275,18.0626
CBL+CNN1,CBL,CNN1,0.7313,0.7053,25.0511
AHR+KLF1,AHR,KLF1,0.7329,0.8165,19.0844
FOXL2+POU3F2,FOXL2,POU3F2,0.7349,0.7216,25.747
SAMD1+ZBTB1,SAMD1,ZBTB1,0.7376,0.7528,25.3968
MAPK1+PRTG,MAPK1,PRTG,0.738,0.8886,20.5452
PRTG+TGFBR2,PRTG,TGFBR2,0.7387,0.7245,22.4347
CEBPA+CEBPB,CEBPA,CEBPB,0.7432,0.9819,44.3629
ETS2+MAP7D1,ETS2,MAP7D1,0.7442,0.6938,20.3524
CEBPB+FOSB,CEBPB,FOSB,0.7496,0.7462,39.4671
CLDN6+KLF1,CLDN6,KLF1,0.7529,0.7375,24.0976
FOXA1+HOXB9,FOXA1,HOXB9,0.7543,0.674,24.4465
IKZF3+MAP2K3,IKZF3,MAP2K3,0.7558,0.7292,22.1439
DUSP9+ETS2,DUSP9,ETS2,0.7558,0.8568,17.9454
BAK1+KLF1,BAK1,KLF1,0.7562,0.6935,16.0603
FOXA1+FOXA3,FOXA1,FOXA3,0.7603,0.6858,26.6477
FOSB+IKZF3,FOSB,IKZF3,0.7649,0.8465,23.3907
ETS2+PRTG,ETS2,PRTG,0.7667,0.7293,20.632
CEBPE+SET,CEBPE,SET,0.769,1.1778,20.8781
FEV+MAP7D1,FEV,MAP7D1,0.769,0.6555,25.0801
SGK1+TBX2,SGK1,TBX2,0.7757,0.7498,22.7717
FEV+ISL2,FEV,ISL2,0.7765,0.6322,29.2967
IKZF3+MAP2K6,IKZF3,MAP2K6,0.7774,0.7022,21.6455
FOXA3+HOXB9,FOXA3,HOXB9,0.7864,0.6472,26.2676
CNN1+UBASH3B,CNN1,UBASH3B,0.7885,0.6183,23.9412
RHOXF2+SET,RHOXF2,SET,0.7948,0.6907,31.108
IKZF3+MAPK1,IKZF3,MAPK1,0.7994,0.7634,25.6327
S1PR2+SGK1,S1PR2,SGK1,0.801,0.6476,28.7708
KLF1+SET,KLF1,SET,0.8021,0.7665,20.6646
MAPK1+TGFBR2,MAPK1,TGFBR2,0.8023,0.6598,20.1435
BPGM+ZBTB1,BPGM,ZBTB1,0.8035,0.726,21.099
CEBPA+ZC3HAV1,CEBPA,ZC3HAV1,0.8139,0.6097,40.5245
AHR+FEV,AHR,FEV,0.8281,0.5773,32.7403
CEBPB+CEBPE,CEBPB,CEBPE,0.8304,0.7942,39.1336
ETS2+IKZF3,ETS2,IKZF3,0.8411,0.6072,25.5994
DUSP9+KLF1,DUSP9,KLF1,0.8417,0.5818,25.222
CEBPE+FOSB,CEBPE,FOSB,0.8445,0.6509,36.7452
DUSP9+IGDCC3,DUSP9,IGDCC3,0.8503,0.6324,27.2775
TBX2+TBX3,TBX2,TBX3,0.857,0.7623,18.5734
DUSP9+PRTG,DUSP9,PRTG,0.8588,0.5932,29.6806
CEBPB+OSR2,CEBPB,OSR2,0.8694,0.6191,35.1004
CEBPE+SPI1,CEBPE,SPI1,0.8758,0.547,43.1795
IRF1+SET,IRF1,SET,0.8768,0.517,36.3773
FOSB+OSR2,FOSB,OSR2,0.8773,0.5147,32.0054
CEBPB+MAPK1,CEBPB,MAPK1,0.8841,0.7058,30.0826
CEBPA+CEBPE,CEBPA,CEBPE,0.8874,0.9529,39.4897
CEBPA+KLF1,CEBPA,KLF1,0.8922,0.5325,35.8839
CEBPE+RUNX1T1,CEBPE,RUNX1T1,0.8933,0.795,20.4826
ETS2+MAPK1,ETS2,MAPK1,0.9084,0.5267,29.9597
CEBPE+ETS2,CEBPE,ETS2,0.9155,0.5786,29.1276
