axis,n_canonical_markers,in_screen_axis,in_target_signature,screen_cov,target_cov,markers_in_target
Th1 (CELLxGENE),14,13,10,0.93,0.71,"CD2,CD3D,CD3E,CXCR4,GPR183,IL7R,KLF6,KLRB1,RGS1,TNFAIP3"
Th2 (CELLxGENE),19,18,16,0.95,0.84,"CD3D,CD3E,CD3G,CD52,CNN2,FXYD5,GATA3,IFITM1,IL32,IL7R,KLRB1,LCK,LTB,NOSIP,SARAF,TNFAIP3"
