generator_set,n_generators,reachable_cosine,residual_norm,heldout_cosine,heldout_z,support_size
all,6871,0.6266290274312786,0.7793176900215535,0.4464114605104187,29.129291741316994,715
significant,6871,0.6266290274312786,0.7793176900215535,0.4464114605104187,29.129291741316994,715
effect_ge_median,3436,0.593515936189929,0.8048222371981233,0.45795950513173184,23.3854908358678,510
