weighting,observed_heldout,floor,floor_sd,floor_max,ceiling,ceiling_p25,ceiling_p75,dynamic_range_fraction,z_over_floor,seconds
uniform,0.4464114605104187,0.0034301739787843968,0.013035261088046505,0.02457333194491065,0.9608353744768088,0.9601893791279941,0.9619451146760237,0.46268945092548447,33.9833075486193,197.8
specificity,0.588754957831597,0.0020148225611477514,0.019438465127414477,0.049505647216857004,0.9558166944210506,0.9538299162283825,0.9570128814185368,0.6151593455423952,30.184488920524768,180.0
