fit,n_generators,reachable_cosine,in_cone_fraction,recipe_top6
full (all generators),6871,0.6266,0.6266,"LAT2,APPBP2,RARA,ICOS,SNAP23,SNX4"
offtarget-flagged removed,6063,0.6203,0.6203,"LAT2,APPBP2,RARA,ICOS,SNAP23,SNX4"
