target,condition,k,gene,cosine,additivity_risk,reliability
toward_older,Stim48hr,10,TRIM14,0.3949,0.047,0.953
toward_older,Stim48hr,11,GPR108,0.4003,0.0476,0.9524
toward_older,Stim48hr,12,ALDH3A2,0.4053,0.0482,0.9518
toward_older,Stim48hr,13,C16orf87,0.4105,0.0488,0.9512
toward_older,Stim48hr,14,GOLGA1,0.4147,0.0493,0.9507
toward_older,Stim48hr,15,ACOT7,0.4199,0.0498,0.9502
toward_older,Stim48hr,16,BRD8,0.4239,0.0503,0.9497
toward_older,Stim48hr,17,TMED9,0.4271,0.0507,0.9493
toward_older,Stim48hr,18,CARD19,0.4305,0.051,0.949
toward_older,Stim48hr,19,ARHGAP30,0.4349,0.0515,0.9485
toward_older,Stim48hr,20,KDM1A,0.4384,0.0519,0.9481
toward_older,Stim48hr,21,ATF7IP2,0.4423,0.0524,0.9476
toward_older,Stim48hr,22,SERPINE2,0.4451,0.0527,0.9473
toward_older,Stim48hr,23,RMI1,0.4475,0.053,0.947
toward_older,Stim48hr,24,NFKBIA,0.4502,0.0533,0.9467
toward_older,Stim48hr,25,VCF2,0.4528,0.0536,0.9464
toward_older,Stim48hr,26,ACTN1,0.4551,0.0538,0.9462
toward_older,Stim48hr,27,TRAF4,0.4571,0.054,0.946
toward_older,Stim48hr,28,CNKSR2,0.4593,0.0543,0.9457
toward_older,Stim48hr,29,FSD1,0.4611,0.0545,0.9455
toward_older,Stim48hr,30,DNAJC14,0.4628,0.0547,0.9453
toward_older,Stim48hr,31,UBE4B,0.4645,0.0549,0.9451
toward_older,Stim48hr,32,RASGRP1,0.4662,0.055,0.945
toward_older,Stim48hr,33,SPIN1,0.4681,0.0553,0.9447
toward_older,Stim48hr,34,LRBA,0.4704,0.0555,0.9445
toward_older,Stim48hr,35,CCDC59,0.4718,0.0557,0.9443
toward_older,Stim48hr,36,PRUNE1,0.4733,0.0558,0.9442
toward_older,Stim48hr,37,PAPOLG,0.4747,0.056,0.944
toward_older,Stim48hr,38,RDH10,0.4758,0.0561,0.9439
toward_older,Stim48hr,39,WDR24,0.477,0.0563,0.9437
toward_older,Stim48hr,40,RFX1,0.4781,0.0564,0.9436
