gene,condition_raw,donor_corr_all_mean,donor_corr_all_min,donor_corr_hits_mean,guide_corr_all,guide_corr_signif,ontarget_effect_size,ontarget_significant,n_cells_target
ABCC2,Rest,,,,-0.0127438513176347,,-0.5288458605430466,False,616.0
ABCC2,Stim48hr,,,,-0.0114126858971565,,-1.7062637527411593,False,601.0
ABCC2,Stim8hr,,,,0.0212251964844185,,0.0197602902348127,False,589.0
ABCC3,Rest,,,,0.1187714993901603,,0.0,False,465.0
ABCC3,Stim48hr,,,,0.0069482539250617,-0.1915883034194422,0.0,False,386.0
ABCC3,Stim8hr,,,,0.0818826600547506,-1.0,0.0,False,454.0
ABCC4,Rest,,,,0.040642579767924,0.6922729611453451,-4.7956971496038765,True,382.0
ABCC4,Stim48hr,0.130632420212711,0.0589809776173129,0.684393452079655,0.0607782496777905,0.0297154386146208,-4.146111810447271,True,165.0
ABCC4,Stim8hr,,,,0.0525375187524475,,-10.15172494742791,True,224.0
ABCC5,Rest,,,,0.043468260292323,0.3639219577935519,-6.353895567983224,True,349.0
ABCC5,Stim48hr,,,,0.0268970132638853,,-5.670642455520089,True,399.0
ABCC5,Stim8hr,,,,0.0166374211620182,-1.0,-6.209022743578931,True,382.0
ABCC8,Rest,,,,0.0112591518470936,,0.0,False,440.0
ABCC8,Stim48hr,,,,0.1059054899356099,1.0,0.0,False,487.0
ABCC8,Stim8hr,,,,0.0451076278287874,,0.0,False,471.0
ABCD2,Rest,,,,-0.0033634553783053,0.8177503783281672,-14.383326492821428,True,471.0
ABCD2,Stim48hr,,,,0.0314923525626398,0.4563437473408643,-6.575642861872353,True,106.0
ABCD2,Stim8hr,,,,-0.0316477993592368,-0.2194763765020693,-3.781339511499061,False,154.0
ABCD3,Rest,,,,-0.0984718880294359,0.0387835575666932,-12.14746241898476,True,514.0
ABCD3,Stim48hr,,,,,,-10.188641857003503,True,391.0
ABCD3,Stim8hr,,,,-0.0094696204858531,0.2542400371914624,-12.169229336466,True,461.0
ABCD4,Rest,,,,0.1471265371753706,,-4.676440808671951,True,335.0
ABCD4,Stim48hr,,,,-0.0858622438093782,0.2602683220828387,-3.901542765347103,False,356.0
ABCD4,Stim8hr,,,,0.015515251217366,,-4.959409428962963,True,335.0
ABCE1,Rest,,,,,,-1.38813609029546,False,98.0
ABCE1,Stim48hr,,,,,,-2.0631407522999563,False,98.0
ABCE1,Stim8hr,,,,,,-6.492658517942345,True,103.0
ABCF2,Rest,,,,,,-5.649775343748209,True,334.0
ABCF2,Stim48hr,,,,0.027579124409755,,-8.13233366119652,True,362.0
ABCF2,Stim8hr,,,,,,-11.160465910234336,True,259.0
ABCF3,Rest,,,,0.0967848409568228,,-2.703872462526029,False,527.0
ABCF3,Stim48hr,,,,0.090416372534437,,-1.6447911152292722,False,423.0
ABCF3,Stim8hr,,,,0.1334163560618612,,-3.2155862435116087,False,428.0
ABCG1,Rest,,,,,,-2.2104073903287427,False,261.0
ABCG1,Stim48hr,,,,-0.0746363221430569,,-3.769409397949617,False,288.0
ABCG1,Stim8hr,,,,,,-0.5549400262629166,False,253.0
ABHD10,Rest,,,,0.0043484119361765,,-17.45715527944561,True,996.0
ABHD10,Stim48hr,,,,0.072711545720864,1.0,-25.86981560702576,True,962.0
ABHD10,Stim8hr,,,,0.0230903059050302,1.0,-23.225118221191018,True,921.0
ABHD11,Rest,,,,0.1839897023380458,0.626270769598833,-3.221162877044996,False,189.0
ABHD11,Stim48hr,,,,0.131360222971031,,-4.071974325413369,False,477.0
ABHD11,Stim8hr,,,,0.0355738655572355,1.0,-3.733049260879449,False,451.0
ABHD12,Rest,0.0932153495524261,0.0125381868484409,0.6089177451965021,0.1735583560421612,0.50615417028151,-13.256184913307983,True,362.0
ABHD12,Stim48hr,,,,-0.0001442431601678,,-12.472646065181149,True,559.0
ABHD12,Stim8hr,,,,0.1323763261831686,,-12.529303009105716,True,457.0
ABHD13,Rest,0.0762673759579879,0.0501662866104259,0.2400646871002375,-0.1017600620201812,-0.3202291733848743,-10.32301412275987,True,578.0
ABHD13,Stim48hr,0.0620584103904946,0.0279850625038043,0.2001803768377965,0.0458941953514764,0.4871727847367838,-8.610639786678513,True,706.0
ABHD13,Stim8hr,0.0416056314075886,0.0062286534269936,0.2569785247126467,0.0061618410791481,0.2402917960555213,-12.601001868074416,True,640.0
ABHD14A,Rest,0.1149434226270604,0.1057210304615153,0.8841250590994277,0.108756411321786,0.9588205401033648,-6.765228932556235,True,591.0
ABHD14A,Stim48hr,,,,0.0626786746168709,0.9757862823034684,-6.657966273209876,True,453.0
ABHD14A,Stim8hr,,,,0.0698413105235645,0.9768199879799472,-6.544735712779975,True,420.0
ABHD14B,Rest,,,,-0.0377406849381607,0.4266446500651779,-16.71970010133373,True,1573.0
ABHD14B,Stim48hr,,,,0.0684933145726119,0.6807137230402256,-19.9394758058676,True,1480.0
ABHD14B,Stim8hr,,,,0.011818059261425,0.693605234087463,-14.642199983850276,True,1431.0
ABHD15,Stim48hr,,,,,,0.0,False,25.0
ABHD16A,Rest,,,,0.1427089440106317,0.9230946497738892,-7.523306093348586,True,288.0
ABHD16A,Stim48hr,,,,0.0998985037263219,0.9628413154281208,-7.89502868033283,True,331.0
ABHD16A,Stim8hr,,,,0.1737786886229178,1.0,-7.73508130108569,True,304.0
ABHD16B,Rest,,,,0.0800089180992235,-0.3770416081978022,0.0,False,504.0
ABHD16B,Stim48hr,,,,0.1535899394688332,1.0,0.0,False,364.0
ABHD16B,Stim8hr,,,,0.0936121924535392,,0.0,False,366.0
ABHD17A,Rest,,,,0.0568909407484176,0.1665631000508293,0.0,False,385.0
ABHD17A,Stim48hr,0.1206502043998505,0.1183840753644159,0.9127317219584428,0.0652755894820341,0.1556782545865796,0.0,False,439.0
ABHD17A,Stim8hr,0.0525118331687901,0.0297445425010142,0.5362422934284439,-0.0069809771647335,-0.1783892749542656,0.0,False,441.0
ABHD17B,Rest,,,,0.0161009552486509,-1.0,-10.384070240125444,True,534.0
ABHD17B,Stim48hr,,,,0.0236280286358509,-1.0,-10.747666745996582,True,472.0
ABHD17B,Stim8hr,,,,0.0974713871117284,1.0,-11.399355875382012,True,501.0
ABHD18,Rest,,,,0.150367866882594,1.0,-10.807755104839082,True,728.0
ABHD18,Stim48hr,,,,0.0353665361837843,0.9771119125261865,-14.55366765775357,True,695.0
ABHD18,Stim8hr,,,,0.1275809331128528,0.956227337112769,-10.862568215796276,True,680.0
ABHD2,Rest,,,,0.0770741535367285,-0.0248118437453997,-8.495401164115329,True,289.0
ABHD2,Stim48hr,,,,0.1005731826197238,1.0,-8.210991812652878,True,453.0
ABHD2,Stim8hr,,,,0.0953613970645042,,-9.15573542473548,True,348.0
ABHD3,Rest,,,,0.2175110170509206,,-22.998584253969085,True,798.0
ABHD3,Stim48hr,,,,0.006698440594581,,-19.14869841500725,True,943.0
ABHD3,Stim8hr,,,,0.112838411345641,,-15.28625022087993,True,851.0
ABHD4,Rest,,,,0.0337467486860987,,-7.526885136920831,True,750.0
ABHD4,Stim48hr,,,,-0.0592821074328127,1.0,-9.786963716260711,True,949.0
ABHD4,Stim8hr,,,,0.0499986433134372,,-5.522239127362117,True,809.0
ABHD5,Rest,,,,0.0611776327609984,,-8.551359686282508,True,771.0
ABHD5,Stim48hr,,,,0.1086139762671209,1.0,-11.43416485429842,True,864.0
ABHD5,Stim8hr,,,,0.0773257413263452,,-11.36531570214469,True,845.0
ABHD6,Rest,,,,0.0961310013135925,0.1245598440930016,-4.633304325404246,True,390.0
ABHD6,Stim48hr,,,,-0.0287010415427576,0.7248397351809883,-4.937577298808681,True,389.0
ABHD6,Stim8hr,,,,0.074921249294407,0.7711115214583533,-6.832516267689945,True,400.0
ABHD8,Rest,,,,,,-4.230808305476538,True,278.0
ABHD8,Stim48hr,,,,,,-4.624068858210672,True,249.0
ABHD8,Stim8hr,,,,,,-3.3879706354212464,False,280.0
ABI1,Rest,,,,0.1128777690849112,0.0036215996361078,-13.351847607000243,True,378.0
ABI1,Stim48hr,,,,0.0506093461668417,0.1966104684752392,-12.868259838076142,True,433.0
ABI1,Stim8hr,,,,0.0481995971547624,-0.7937305776418672,-13.7845858545166,True,412.0
ABI2,Rest,,,,0.065575105184341,,-1.862032750094952,False,277.0
ABI2,Stim48hr,,,,0.147204713177741,0.8885061961800687,-6.046463826172475,True,293.0
ABI2,Stim8hr,,,,0.1028227188416285,,-4.445053028416037,False,262.0
ABI3,Rest,,,,,,-3.2319428105331567,True,41.0
ABI3,Stim48hr,,,,,,-7.297521767326829,True,191.0
ABI3,Stim8hr,0.132537077615165,0.0885951132981471,0.8694719886344452,0.1371354211709742,0.6768008771859615,-5.44091023261793,True,122.0
ABL1,Rest,,,,0.1258740593033589,,-4.256882374565642,False,444.0
ABL1,Stim48hr,,,,0.1574938177894862,,-4.211714642669127,False,496.0
ABL1,Stim8hr,,,,0.1502347725575809,,0.1741842317206555,False,397.0
ABL2,Rest,,,,0.0826888676765155,,-6.38069288026138,True,938.0
ABL2,Stim48hr,,,,0.0747863706132112,0.8782249511452357,-7.139255874330036,True,1017.0
ABL2,Stim8hr,,,,0.0950842134805472,0.998458272585643,-8.50084273948049,True,950.0
ABLIM3,Rest,,,,0.0032505326289117,,0.0,False,364.0
ABLIM3,Stim48hr,,,,0.0266137304815482,,0.0,False,357.0
ABLIM3,Stim8hr,,,,0.0643178191429834,,0.0,False,345.0
ABRACL,Rest,,,,,,-34.93390530076473,True,653.0
ABRACL,Stim48hr,,,,,,-37.926762274548686,True,711.0
ABRACL,Stim8hr,,,,,,-37.22024957300806,True,624.0
